Repo_name,Organization Name,Language Name,Totally stars,Forks,Since Stars,Time Range,Date Time
detekt,detekt,Kotlin,6574,803,2,today,2025-07-09
chains,ethereum-lists,Kotlin,9747,7375,1,today,2025-07-09
Calendar,kizitonwose,Kotlin,5217,545,2,today,2025-07-09
p3c,alibaba,Kotlin,30670,8072,2,today,2025-07-09
android,home-assistant,Kotlin,2839,765,22,this week,2025-07-09
Magisk,topjohnwu,Kotlin,54229,14250,227,this week,2025-07-09
Signal-Android,signalapp,Kotlin,27286,6458,60,this week,2025-07-09
florisboard,florisboard,Kotlin,7182,467,42,this week,2025-07-09
Exposed,JetBrains,Kotlin,8838,738,17,this week,2025-07-09
fanqiang,bannedbook,Kotlin,40029,7366,62,this week,2025-07-09
nowinandroid,android,Kotlin,19121,3678,67,this week,2025-07-09
BiliRoamingX,BiliRoamingX,Kotlin,3065,219,29,this week,2025-07-09
ktor,ktorio,Kotlin,13754,1158,38,this week,2025-07-09
LiquidBounce,CCBlueX,Kotlin,1820,545,19,this week,2025-07-09
animeko,open-ani,Kotlin,8369,204,348,this week,2025-07-09
quickstart-android,firebase,Kotlin,9098,7381,11,this week,2025-07-09
compose-samples,android,Kotlin,21864,5141,48,this week,2025-07-09
InstallWithOptions,zacharee,Kotlin,1708,80,30,this week,2025-07-09
Metrolist,mostafaalagamy,Kotlin,1763,89,114,this week,2025-07-09
Kotatsu,KotatsuApp,Kotlin,5996,256,57,this week,2025-07-09
APatch,bmax121,Kotlin,5957,495,59,this week,2025-07-09
Maestro,mobile-dev-inc,Kotlin,8099,413,93,this week,2025-07-09
aniyomi-extensions,yuzono,Kotlin,101,18,17,this week,2025-07-09
ByeDPIAndroid,dovecoteescapee,Kotlin,4239,237,32,this week,2025-07-09
MiceWine-Application,KreitinnSoftware,Kotlin,1020,50,21,this week,2025-07-09
Auxio,OxygenCobalt,Kotlin,2803,191,53,this week,2025-07-09
v2rayNG,2dust,Kotlin,42498,6151,1105,this month,2025-07-09
quarkdown,iamgio,Kotlin,8393,179,3168,this month,2025-07-09
gkd,gkd-kit,Kotlin,29417,1449,1564,this month,2025-07-09
Metrolist,mostafaalagamy,Kotlin,1763,89,481,this month,2025-07-09
Magisk,topjohnwu,Kotlin,54229,14250,813,this month,2025-07-09
ImageToolbox,T8RIN,Kotlin,8713,379,1229,this month,2025-07-09
Maestro,mobile-dev-inc,Kotlin,8099,413,221,this month,2025-07-09
breezy-weather,breezy-weather,Kotlin,7484,246,371,this month,2025-07-09
Android-Native-Root-Detector,reveny,Kotlin,606,75,161,this month,2025-07-09
Shizuku,RikkaApps,Kotlin,15485,988,721,this month,2025-07-09
nowinandroid,android,Kotlin,19121,3678,298,this month,2025-07-09
android,bitwarden,Kotlin,7527,875,144,this month,2025-07-09
Anki-Android,ankidroid,Kotlin,9719,2471,123,this month,2025-07-09
NekoBoxForAndroid,MatsuriDayo,Kotlin,14862,1225,443,this month,2025-07-09
APatch,bmax121,Kotlin,5957,495,218,this month,2025-07-09
okhttp,square,Kotlin,46509,9218,115,this month,2025-07-09
KernelSU,tiann,Kotlin,12940,2468,340,this month,2025-07-09
mihon,mihonapp,Kotlin,14473,655,579,this month,2025-07-09
extensions-source,keiyoushi,Kotlin,2960,713,95,this month,2025-07-09
ksp,google,Kotlin,3146,323,59,this month,2025-07-09
ktor,ktorio,Kotlin,13754,1158,116,this month,2025-07-09
Smart-AutoClicker,Nain57,Kotlin,2571,453,106,this month,2025-07-09
filament,filamentphp,PHP,24747,3572,32,today,2025-07-09
wallabag,wallabag,PHP,11713,819,51,today,2025-07-09
magento2,magento,PHP,11845,9394,0,today,2025-07-09
dolibarr,Dolibarr,PHP,6249,3008,11,today,2025-07-09
snipe-it,grokability,PHP,12429,3461,6,today,2025-07-09
framework,laravel,PHP,33801,11440,9,today,2025-07-09
elementor,elementor,PHP,6702,1464,0,today,2025-07-09
PHP-CS-Fixer,PHP-CS-Fixer,PHP,13240,1605,8,today,2025-07-09
pint,laravel,PHP,2947,157,2,today,2025-07-09
glpi,glpi-project,PHP,4937,1416,11,today,2025-07-09
rector,rectorphp,PHP,9782,722,6,today,2025-07-09
woocommerce,woocommerce,PHP,9848,10762,4,today,2025-07-09
composer,composer,PHP,29033,4655,3,today,2025-07-09
larastan,larastan,PHP,5983,460,1,today,2025-07-09
dujiaoka,assimon,PHP,10740,2491,9,today,2025-07-09
wordpress-develop,WordPress,PHP,2807,2960,4,today,2025-07-09
drush,drush-ops,PHP,2359,1096,0,today,2025-07-09
readme-typing-svg,DenverCoder1,PHP,7161,1225,12,today,2025-07-09
PocketMine-MP,pmmp,PHP,3400,1596,3,today,2025-07-09
mapos,RamonSilva20,PHP,984,640,1,today,2025-07-09
Xboard,cedar2025,PHP,2927,757,7,today,2025-07-09
Xboard,cedar2025,PHP,2927,757,38,this week,2025-07-09
glpi,glpi-project,PHP,4937,1416,56,this week,2025-07-09
speedtest-tracker,alexjustesen,PHP,3980,141,74,this week,2025-07-09
wallabag,wallabag,PHP,11713,819,93,this week,2025-07-09
PHP-CS-Fixer,PHP-CS-Fixer,PHP,13240,1605,29,this week,2025-07-09
countries-states-cities-database,dr5hn,PHP,8500,2809,45,this week,2025-07-09
server,nextcloud,PHP,30112,4337,105,this week,2025-07-09
koel,koel,PHP,16556,2019,21,this week,2025-07-09
woocommerce,woocommerce,PHP,9848,10762,10,this week,2025-07-09
BookStack,BookStackApp,PHP,16920,2138,49,this week,2025-07-09
filament,filamentphp,PHP,24747,3572,158,this week,2025-07-09
mautic,mautic,PHP,8296,2901,32,this week,2025-07-09
bagisto,bagisto,PHP,19712,2549,189,this week,2025-07-09
moukthar,Tomiwa-Ot,PHP,585,145,28,this week,2025-07-09
SecLists,danielmiessler,PHP,64024,24470,181,this week,2025-07-09
2FAuth,Bubka,PHP,2892,199,38,this week,2025-07-09
PocketMine-MP,pmmp,PHP,3400,1596,11,this week,2025-07-09
solidtime,solidtime-io,PHP,7077,362,42,this week,2025-07-09
coolify,coollabsio,PHP,43220,2693,224,this week,2025-07-09
all-in-one,nextcloud,PHP,7342,813,73,this week,2025-07-09
matomo,matomo-org,PHP,20653,2734,25,this week,2025-07-09
filament,filamentphp,PHP,24747,3572,865,this month,2025-07-09
coolify,coollabsio,PHP,43220,2693,1194,this month,2025-07-09
panel,pterodactyl,PHP,7813,2140,172,this month,2025-07-09
all-in-one,nextcloud,PHP,7342,813,370,this month,2025-07-09
SecLists,danielmiessler,PHP,64024,24470,773,this month,2025-07-09
server,nextcloud,PHP,30112,4337,394,this month,2025-07-09
glpi,glpi-project,PHP,4937,1416,120,this month,2025-07-09
laravel-crm,krayin,PHP,15690,1104,678,this month,2025-07-09
github-readme-streak-stats,DenverCoder1,PHP,5764,948,119,this month,2025-07-09
PrestaShop,PrestaShop,PHP,8639,4941,58,this month,2025-07-09
Wallos,ellite,PHP,5601,239,669,this month,2025-07-09
Xboard,cedar2025,PHP,2927,757,128,this month,2025-07-09
monica,monicahq,PHP,23081,2324,252,this month,2025-07-09
woocommerce,woocommerce,PHP,9848,10762,45,this month,2025-07-09
bagisto,bagisto,PHP,19712,2549,728,this month,2025-07-09
snipe-it,grokability,PHP,12429,3461,162,this month,2025-07-09
PHP-CS-Fixer,PHP-CS-Fixer,PHP,13240,1605,66,this month,2025-07-09
magento2,magento,PHP,11845,9394,42,this month,2025-07-09
rector,rectorphp,PHP,9782,722,108,this month,2025-07-09
roundcubemail,roundcube,PHP,6380,1688,82,this month,2025-07-09
openemr,openemr,PHP,3542,2412,50,this month,2025-07-09
koel,koel,PHP,16556,2019,82,this month,2025-07-09
swift-composable-architecture,pointfreeco,Swift,13455,1549,6,today,2025-07-09
XcodeGen,yonaskolb,Swift,7499,839,20,today,2025-07-09
SwiftLint,realm,Swift,19076,2259,3,today,2025-07-09
Alamofire,Alamofire,Swift,41979,7620,3,today,2025-07-09
swift-package-manager,swiftlang,Swift,9964,1405,2,today,2025-07-09
swift-syntax,swiftlang,Swift,3465,442,3,today,2025-07-09
swift-snapshot-testing,pointfreeco,Swift,3969,628,1,today,2025-07-09
Kingfisher,onevcat,Swift,23935,2714,4,today,2025-07-09
apollo-ios,apollographql,Swift,3957,750,1,today,2025-07-09
swift-collections,apple,Swift,4121,333,2,today,2025-07-09
Applite,milanvarady,Swift,5180,122,22,today,2025-07-09
swift-nio,apple,Swift,8189,687,1,today,2025-07-09
Charts,ChartsOrg,Swift,27901,6044,3,today,2025-07-09
swiftui-introspect,siteline,Swift,6161,381,0,today,2025-07-09
RxSwift,ReactiveX,Swift,24615,4188,0,today,2025-07-09
swift-markdown-ui,gonzalezreal,Swift,3298,426,2,today,2025-07-09
GRDB.swift,groue,Swift,7608,765,3,today,2025-07-09
Delta,rileytestut,Swift,5447,409,22,today,2025-07-09
swift-system,apple,Swift,1272,119,3,today,2025-07-09
AltStore,altstoreio,Swift,12618,1068,4,today,2025-07-09
tuist,tuist,Swift,5138,636,3,today,2025-07-09
Kingfisher,onevcat,Swift,23935,2714,28,this week,2025-07-09
awesome-ios,vsouza,Swift,49332,6912,81,this week,2025-07-09
AudioKit,AudioKit,Swift,11051,1593,17,this week,2025-07-09
mlx-swift-examples,ml-explore,Swift,1941,270,31,this week,2025-07-09
XcodeGen,yonaskolb,Swift,7499,839,46,this week,2025-07-09
Delta,rileytestut,Swift,5447,409,31,this week,2025-07-09
ios,nextcloud,Swift,2148,933,4,this week,2025-07-09
OnlySwitch,jacklandrin,Swift,4933,215,78,this week,2025-07-09
GRDB.swift,groue,Swift,7608,765,23,this week,2025-07-09
AeroSpace,nikitabobko,Swift,13770,278,190,this week,2025-07-09
firefox-ios,mozilla-mobile,Swift,12605,3062,7,this week,2025-07-09
react-native-video,TheWidlarzGroup,Swift,7447,2973,18,this week,2025-07-09
Alamofire,Alamofire,Swift,41979,7620,14,this week,2025-07-09
facebook-ios-sdk,facebook,Swift,7900,3624,3,this week,2025-07-09
apollo-ios,apollographql,Swift,3957,750,6,this week,2025-07-09
VoiceInk,Beingpax,Swift,1050,128,67,this week,2025-07-09
Amethyst,ianyh,Swift,15488,498,29,this week,2025-07-09
alt-tab-macos,lwouis,Swift,12799,381,56,this week,2025-07-09
SwiftLint,realm,Swift,19076,2259,19,this week,2025-07-09
CodeEdit,CodeEditApp,Swift,21932,1104,27,this week,2025-07-09
swift-syntax,swiftlang,Swift,3465,442,9,this week,2025-07-09
CopilotForXcode,github,Swift,4355,825,205,this month,2025-07-09
VoiceInk,Beingpax,Swift,1050,128,273,this month,2025-07-09
IceCubesApp,Dimillian,Swift,6392,622,176,this month,2025-07-09
Feather,khcrysalis,Swift,2468,192,252,this month,2025-07-09
Ice,jordanbaird,Swift,20379,377,819,this month,2025-07-09
swift-nio,apple,Swift,8189,687,43,this month,2025-07-09
swiftui-introspect,siteline,Swift,6161,381,74,this month,2025-07-09
vapor,vapor,Swift,25376,1490,180,this month,2025-07-09
SwiftLint,realm,Swift,19076,2259,66,this month,2025-07-09
Kingfisher,onevcat,Swift,23935,2714,81,this month,2025-07-09
RxSwift,ReactiveX,Swift,24615,4188,53,this month,2025-07-09
Bark,Finb,Swift,6267,507,125,this month,2025-07-09
AlDente-Battery_Care_and_Monitoring,AppHouseKitchen,Swift,8526,315,128,this month,2025-07-09
PlayCover,PlayCover,Swift,9704,809,155,this month,2025-07-09
tuist,tuist,Swift,5138,636,80,this month,2025-07-09
XcodesApp,XcodesOrg,Swift,7748,335,176,this month,2025-07-09
XcodeGen,yonaskolb,Swift,7499,839,90,this month,2025-07-09
swift-collections,apple,Swift,4121,333,62,this month,2025-07-09
Rectangle,rxhanson,Swift,27221,836,197,this month,2025-07-09
proxypin,wanghongenpin,Dart,9335,810,92,today,2025-07-09
ente,ente-io,Dart,20407,1162,238,today,2025-07-09
flutter,flutter,Dart,171310,28828,14,today,2025-07-09
movie,waifu-project,Dart,251,48,11,today,2025-07-09
packages,flutter,Dart,4773,3353,3,today,2025-07-09
Cashew,jameskokoska,Dart,3113,461,12,today,2025-07-09
gopeed,GopeedLab,Dart,19489,1343,25,today,2025-07-09
BloomeeTunes,HemantKArya,Dart,817,70,29,today,2025-07-09
cake_wallet,cake-tech,Dart,1084,245,1,today,2025-07-09
samples,flutter,Dart,18367,7751,5,today,2025-07-09
flutter_inappwebview,pichillilorenzo,Dart,3562,1874,0,today,2025-07-09
KazumiRules,Predidit,Dart,705,46,9,today,2025-07-09
Kazumi,Predidit,Dart,12573,329,111,today,2025-07-09
riverpod,rrousselGit,Dart,6749,1003,0,today,2025-07-09
getx,jonataslaw,Dart,10923,1676,1,today,2025-07-09
flutter_local_notifications,MaikuB,Dart,2591,1494,2,today,2025-07-09
AppFlowy,AppFlowy-IO,Dart,64331,4423,23,today,2025-07-09
flutter_file_picker,miguelpruivo,Dart,1455,780,0,today,2025-07-09
sdk,dart-lang,Dart,10680,1666,1,today,2025-07-09
FlClash,chen08209,Dart,18889,1128,39,today,2025-07-09
flutter_chat_ui,flyerhq,Dart,1933,786,3,today,2025-07-09
finamp,jmshrv,Dart,2825,175,6,today,2025-07-09
ente,ente-io,Dart,20407,1162,361,this week,2025-07-09
gopeed,GopeedLab,Dart,19489,1343,128,this week,2025-07-09
Obtainium,ImranR98,Dart,11665,277,119,this week,2025-07-09
pilipala,guozhigq,Dart,11485,607,296,this week,2025-07-09
proxypin,wanghongenpin,Dart,9335,810,179,this week,2025-07-09
karing,KaringX,Dart,5783,496,95,this week,2025-07-09
Harmony-Music,anandnet,Dart,2159,178,52,this week,2025-07-09
flutterfire,firebase,Dart,8967,4060,19,this week,2025-07-09
samples,flutter,Dart,18367,7751,32,this week,2025-07-09
Kazumi,Predidit,Dart,12573,329,606,this week,2025-07-09
BloomeeTunes,HemantKArya,Dart,817,70,66,this week,2025-07-09
bloc,felangel,Dart,12190,3424,12,this week,2025-07-09
AppFlowy,AppFlowy-IO,Dart,64331,4423,166,this week,2025-07-09
packages,flutter,Dart,4773,3353,9,this week,2025-07-09
Openlib,dstark5,Dart,1561,72,15,this week,2025-07-09
PicaComic,wgh136,Dart,8290,993,24,this week,2025-07-09
plus_plugins,fluttercommunity,Dart,1755,1126,1,this week,2025-07-09
finamp,jmshrv,Dart,2825,175,21,this week,2025-07-09
localsend,localsend,Dart,64176,3425,399,this week,2025-07-09
KazumiRules,Predidit,Dart,705,46,33,this week,2025-07-09
localsend,localsend,Dart,64176,3425,2035,this month,2025-07-09
hiddify-app,hiddify,Dart,22052,1945,627,this month,2025-07-09
Obtainium,ImranR98,Dart,11665,277,502,this month,2025-07-09
revanced-manager,ReVanced,Dart,22062,862,685,this month,2025-07-09
FlClash,chen08209,Dart,18889,1128,1027,this month,2025-07-09
awesome-flutter,Solido,Dart,56406,6764,404,this month,2025-07-09
proxypin,wanghongenpin,Dart,9335,810,383,this month,2025-07-09
pilipala,guozhigq,Dart,11485,607,615,this month,2025-07-09
ente,ente-io,Dart,20407,1162,836,this month,2025-07-09
fluffychat,krille-chan,Dart,1675,312,95,this month,2025-07-09
Cashew,jameskokoska,Dart,3113,461,194,this month,2025-07-09
Kazumi,Predidit,Dart,12573,329,1359,this month,2025-07-09
flutterfire,firebase,Dart,8967,4060,58,this month,2025-07-09
flutter,flutter,Dart,171310,28828,653,this month,2025-07-09
refreezer,DJDoubleD,Dart,735,22,95,this month,2025-07-09
BloomeeTunes,HemantKArya,Dart,817,70,99,this month,2025-07-09
Harmony-Music,anandnet,Dart,2159,178,151,this month,2025-07-09
karing,KaringX,Dart,5783,496,351,this month,2025-07-09
PicaComic,wgh136,Dart,8290,993,93,this month,2025-07-09
riverpod,rrousselGit,Dart,6749,1003,66,this month,2025-07-09
ohmyzsh,ohmyzsh,Shell,179789,26135,43,today,2025-07-09
tfenv,tfutils,Shell,4739,467,2,today,2025-07-09
nvm,nvm-sh,Shell,85706,9008,20,today,2025-07-09
claude-desktop-debian,aaddrick,Shell,838,171,8,today,2025-07-09
Docker-OSX,sickcodes,Shell,50893,2834,32,today,2025-07-09
bats-core,bats-core,Shell,5385,434,3,today,2025-07-09
kubestarter,LondheShubham153,Shell,448,2566,4,today,2025-07-09
release,openshift,Shell,299,1918,0,today,2025-07-09
zsh-syntax-highlighting,zsh-users,Shell,21358,1345,6,today,2025-07-09
leetcode-master,youngyangyang04,Shell,57127,12067,32,today,2025-07-09
DevOps-Bash-tools,HariSekhon,Shell,6890,1291,10,today,2025-07-09
reinstall,bin456789,Shell,5922,1001,12,today,2025-07-09
winapps,winapps-org,Shell,2805,119,10,today,2025-07-09
Qwen3,QwenLM,Shell,22455,1514,39,today,2025-07-09
macos,dockur,Shell,15588,638,3420,this week,2025-07-09
Docker-OSX,sickcodes,Shell,50893,2834,126,this week,2025-07-09
vscodium,VSCodium,Shell,27878,1331,84,this week,2025-07-09
windows,dockur,Shell,36352,2685,257,this week,2025-07-09
ohmyzsh,ohmyzsh,Shell,179789,26135,211,this week,2025-07-09
clash-for-linux-install,nelvko,Shell,2580,389,149,this week,2025-07-09
nvm,nvm-sh,Shell,85706,9008,161,this week,2025-07-09
certified-kubernetes-administrator-course,kodekloudhub,Shell,9143,8610,46,this week,2025-07-09
v2ray-agent,mack-a,Shell,16218,4964,51,this week,2025-07-09
Arch-Hyprland,JaKooLit,Shell,3144,269,55,this week,2025-07-09
docker-minecraft-server,itzg,Shell,11558,1712,60,this week,2025-07-09
awesome-jellyfin,awesome-jellyfin,Shell,3753,102,70,this week,2025-07-09
WinterBreak,KindleModding,Shell,1104,23,27,this week,2025-07-09
leetcode-master,youngyangyang04,Shell,57127,12067,153,this week,2025-07-09
omakub,basecamp,Shell,6743,655,97,this week,2025-07-09
public-image-mirror,DaoCloud,Shell,10690,1247,96,this week,2025-07-09
Qwen3,QwenLM,Shell,22455,1514,150,this week,2025-07-09
nvm,nvm-sh,Shell,85706,9008,816,this month,2025-07-09
omakub,basecamp,Shell,6743,655,323,this month,2025-07-09
clash-for-linux-install,nelvko,Shell,2580,389,581,this month,2025-07-09
macos,dockur,Shell,15588,638,3504,this month,2025-07-09
certified-kubernetes-administrator-course,kodekloudhub,Shell,9143,8610,162,this month,2025-07-09
Docker-OSX,sickcodes,Shell,50893,2834,342,this month,2025-07-09
huly-selfhost,hcengineering,Shell,2532,250,189,this month,2025-07-09
bazzite,ublue-os,Shell,5791,441,246,this month,2025-07-09
awesome-hacker-search-engines,edoardottt,Shell,8918,846,152,this month,2025-07-09
VPN,aditya-shri,Shell,1132,1303,45,this month,2025-07-09
v2ray,233boy,Shell,26400,16521,240,this month,2025-07-09
quickemu,quickemu-project,Shell,12224,540,236,this month,2025-07-09
terminal-bench,laude-institute,Shell,234,59,79,this month,2025-07-09
ohmyzsh,ohmyzsh,Shell,179789,26135,873,this month,2025-07-09
n8n-hosting,n8n-io,Shell,720,422,140,this month,2025-07-09
spark,apache,Scala,41423,28675,10,today,2025-07-09
deequ,awslabs,Scala,3453,558,4,today,2025-07-09
delta,delta-io,Scala,8136,1868,5,today,2025-07-09
joern,joernio,Scala,2487,332,4,today,2025-07-09
the-algorithm,twitter,Scala,63388,12154,11,today,2025-07-09
rocket-chip,chipsalliance,Scala,3489,1174,3,today,2025-07-09
texera,Texera,Scala,184,89,1,today,2025-07-09
XiangShan,OpenXiangShan,Scala,6479,779,2,today,2025-07-09
delta-sharing,delta-io,Scala,850,199,0,today,2025-07-09
lila,lichess-org,Scala,16836,2432,8,today,2025-07-09
spark-rapids,NVIDIA,Scala,909,255,1,today,2025-07-09
scala3,scala,Scala,6062,1105,4,today,2025-07-09
incubator-gluten,apache,Scala,1384,554,0,today,2025-07-09
kyuubi,apache,Scala,2215,948,1,today,2025-07-09
gatling,gatling,Scala,6717,1214,1,today,2025-07-09
metals,scalameta,Scala,2207,381,1,today,2025-07-09
chipyard,ucb-bar,Scala,1893,727,2,today,2025-07-09
TheHive,TheHive-Project,Scala,3725,659,1,today,2025-07-09
Cortex,TheHive-Project,Scala,1441,242,0,today,2025-07-09
bfg-repo-cleaner,rtyley,Scala,11622,566,3,today,2025-07-09
sbt,sbt,Scala,4850,950,0,today,2025-07-09
gitbucket,gitbucket,Scala,9268,1254,0,today,2025-07-09
XiangShan,OpenXiangShan,Scala,6479,779,20,this week,2025-07-09
zio,zio,Scala,4229,1357,2,this week,2025-07-09
lila,lichess-org,Scala,16836,2432,37,this week,2025-07-09
the-algorithm,twitter,Scala,63388,12154,54,this week,2025-07-09
spark,apache,Scala,41423,28675,51,this week,2025-07-09
SynapseML,microsoft,Scala,5146,848,1,this week,2025-07-09
scala,scala,Scala,14389,3114,3,this week,2025-07-09
azure-maven-archetypes,microsoft,Scala,23,34,0,this week,2025-07-09
playframework,playframework,Scala,12579,4095,4,this week,2025-07-09
deequ,awslabs,Scala,3453,558,12,this week,2025-07-09
delta,delta-io,Scala,8136,1868,15,this week,2025-07-09
joern,joernio,Scala,2487,332,20,this week,2025-07-09
rocket-chip,chipsalliance,Scala,3489,1174,8,this week,2025-07-09
sbt,sbt,Scala,4850,950,2,this week,2025-07-09
gitbucket,gitbucket,Scala,9268,1254,5,this week,2025-07-09
Cortex,TheHive-Project,Scala,1441,242,2,this week,2025-07-09
TheHive,TheHive-Project,Scala,3725,659,10,this week,2025-07-09
chisel,chipsalliance,Scala,4332,632,11,this week,2025-07-09
kyuubi,apache,Scala,2215,948,1,this week,2025-07-09
splice,hyperledger-labs,Scala,33,22,2,this week,2025-07-09
bfg-repo-cleaner,rtyley,Scala,11622,566,18,this week,2025-07-09
gemmini,ucb-bar,Scala,989,203,11,this week,2025-07-09
chipyard,ucb-bar,Scala,1893,727,7,this week,2025-07-09
spark,apache,Scala,41423,28675,216,this month,2025-07-09
delta,delta-io,Scala,8136,1868,77,this month,2025-07-09
the-algorithm,twitter,Scala,63388,12154,178,this month,2025-07-09
splice,hyperledger-labs,Scala,33,22,7,this month,2025-07-09
kyuubi,apache,Scala,2215,948,19,this month,2025-07-09
cats-effect,typelevel,Scala,2138,557,9,this month,2025-07-09
joern,joernio,Scala,2487,332,63,this month,2025-07-09
playframework,playframework,Scala,12579,4095,15,this month,2025-07-09
lila,lichess-org,Scala,16836,2432,134,this month,2025-07-09
scala3,scala,Scala,6062,1105,37,this month,2025-07-09
XiangShan,OpenXiangShan,Scala,6479,779,64,this month,2025-07-09
akka,akka,Scala,13173,3587,21,this month,2025-07-09
chisel,chipsalliance,Scala,4332,632,41,this month,2025-07-09
chipyard,ucb-bar,Scala,1893,727,29,this month,2025-07-09
deequ,awslabs,Scala,3453,558,28,this month,2025-07-09
bfg-repo-cleaner,rtyley,Scala,11622,566,73,this month,2025-07-09
gitbucket,gitbucket,Scala,9268,1254,18,this month,2025-07-09
incubator-gluten,apache,Scala,1384,554,24,this month,2025-07-09
daml,digital-asset,Scala,817,211,4,this month,2025-07-09
gatling,gatling,Scala,6717,1214,47,this month,2025-07-09
TheHive,TheHive-Project,Scala,3725,659,50,this month,2025-07-09
gemmini,ucb-bar,Scala,989,203,33,this month,2025-07-09
seurat,satijalab,R,2463,950,1,today,2025-07-09
phyloseq,joey711,R,616,190,0,today,2025-07-09
CellChat,sqjin,R,709,159,0,today,2025-07-09
signac,stuart-lab,R,377,98,1,today,2025-07-09
ComplexHeatmap,jokergoo,R,1388,237,0,today,2025-07-09
infercnv,broadinstitute,R,625,177,0,today,2025-07-09
DoubletFinder,chris-mcginnis-ucsf,R,480,119,0,today,2025-07-09
data.table,Rdatatable,R,3751,1009,0,today,2025-07-09
hdWGCNA,smorabit,R,419,42,0,today,2025-07-09
reticulate,rstudio,R,1708,345,1,today,2025-07-09
dada2,benjjneb,R,509,151,0,today,2025-07-09
renv,rstudio,R,1077,156,0,today,2025-07-09
ggpubr,kassambara,R,1188,176,1,today,2025-07-09
seurat-wrappers,satijalab,R,340,137,1,today,2025-07-09
TwoSampleMR,MRCIEU,R,497,184,0,today,2025-07-09
shiny,rstudio,R,5494,1881,0,today,2025-07-09
sf,r-spatial,R,1379,301,0,today,2025-07-09
dplyr,tidyverse,R,4896,2128,0,today,2025-07-09
harmony,immunogenomics,R,580,103,0,today,2025-07-09
clusterProfiler,YuLab-SMU,R,1098,262,0,today,2025-07-09
ggplot2,tidyverse,R,6722,2090,1,today,2025-07-09
swirl_courses,swirldev,R,4436,7248,0,today,2025-07-09
ellmer,tidyverse,R,482,85,5,this week,2025-07-09
seurat,satijalab,R,2463,950,5,this week,2025-07-09
data.table,Rdatatable,R,3751,1009,3,this week,2025-07-09
shiny,rstudio,R,5494,1881,2,this week,2025-07-09
DoubletFinder,chris-mcginnis-ucsf,R,480,119,1,this week,2025-07-09
infercnv,broadinstitute,R,625,177,1,this week,2025-07-09
CellChat,sqjin,R,709,159,2,this week,2025-07-09
ProgrammingAssignment2,rdpeng,R,857,144001,0,this week,2025-07-09
swirl_courses,swirldev,R,4436,7248,4,this week,2025-07-09
clusterProfiler,YuLab-SMU,R,1098,262,0,this week,2025-07-09
r4ds,hadley,R,4824,4311,6,this week,2025-07-09
harmony,immunogenomics,R,580,103,0,this week,2025-07-09
dada2,benjjneb,R,509,151,0,this week,2025-07-09
ComplexHeatmap,jokergoo,R,1388,237,1,this week,2025-07-09
ProgrammingAssignment2,rdpeng,R,857,144001,1,this month,2025-07-09
data.table,Rdatatable,R,3751,1009,20,this month,2025-07-09
r4ds,hadley,R,4824,4311,24,this month,2025-07-09
shiny,rstudio,R,5494,1881,14,this month,2025-07-09
signac,stuart-lab,R,377,98,3,this month,2025-07-09
seurat,satijalab,R,2463,950,19,this month,2025-07-09
swirl_courses,swirldev,R,4436,7248,14,this month,2025-07-09
CellChat,sqjin,R,709,159,9,this month,2025-07-09
harmony,immunogenomics,R,580,103,4,this month,2025-07-09
DoubletFinder,chris-mcginnis-ucsf,R,480,119,7,this month,2025-07-09
infercnv,broadinstitute,R,625,177,8,this month,2025-07-09
devtools,r-lib,R,2460,763,7,this month,2025-07-09
monocle3,cole-trapnell-lab,R,390,107,4,this month,2025-07-09
FlameGraph,brendangregg,Perl,18452,2035,9,today,2025-07-09
glpi-agent,glpi-project,Perl,308,81,0,today,2025-07-09
ACLPUB,acl-org,Perl,234,204,0,today,2025-07-09
prokka,tseemann,Perl,912,234,0,today,2025-07-09
Znuny,znuny,Perl,482,101,0,today,2025-07-09
centreon-plugins,centreon,Perl,321,288,0,today,2025-07-09
ocpi,ocpi,Perl,503,216,1,today,2025-07-09
TrimGalore,FelixKrueger,Perl,513,154,0,today,2025-07-09
lcov,linux-test-project,Perl,1010,249,1,today,2025-07-09
BRAKER,Gaius-Augustus,Perl,414,90,0,today,2025-07-09
trinityrnaseq,trinityrnaseq,Perl,863,319,0,today,2025-07-09
cloc,AlDanial,Perl,21267,1069,11,today,2025-07-09
packetfence,inverse-inc,Perl,1505,304,3,today,2025-07-09
ora2pg,darold,Perl,1114,359,1,today,2025-07-09
snippy,tseemann,Perl,530,115,0,today,2025-07-09
pgbadger,darold,Perl,3762,360,2,today,2025-07-09
LANraragi,Difegue,Perl,2578,185,2,today,2025-07-09
diff-so-fancy,so-fancy,Perl,17697,335,0,today,2025-07-09
MySQLTuner-perl,major,Perl,9244,1297,1,today,2025-07-09
openfortivpn,adrienverge,Perl,2976,340,0,today,2025-07-09
openkore,OpenKore,Perl,1376,1150,0,today,2025-07-09
owasp-modsecurity-crs,SpiderLabs,Perl,2467,732,0,today,2025-07-09
lm-sensors,lm-sensors,Perl,988,284,0,today,2025-07-09
cloc,AlDanial,Perl,21267,1069,90,this week,2025-07-09
.dotfiles,ThePrimeagen,Perl,3331,315,10,this week,2025-07-09
aws-cdk-guide,awsdocs,Perl,351,222,0,this week,2025-07-09
ocpi,ocpi,Perl,503,216,2,this week,2025-07-09
Znuny,znuny,Perl,482,101,3,this week,2025-07-09
